Disease	cervical cancer	Rank_cervical cancer
HG00479	3.5043	0.4808
HG00500	2.9698	0.4429
HG00513	1.761	0.155
HG00524	1.9899	0.1801
HG00525	2.5073	0.3494
HG00530	4.6725	0.6122
HG00531	1	0.0308
HG00533	1.1193	0.0575
HG00534	1.9899	0.1801
HG00536	1.4924	0.1294
HG00537	4.6725	0.6122
HG00542	1.9899	0.1801
HG00543	1.18	0.0647
HG00551	4.6725	0.6122
HG00553	3.9598	0.5036
HG00554	2.9698	0.4429
HG00556	1.1193	0.0575
HG00557	1.761	0.155
HG00559	1.4924	0.1294
HG00560	0.885	0.0176
HG00565	1.6641	0.1502
HG00566	1.8804	0.1741
HG00580	0.5625	4.00E-04
HG00581	2.9586	0.4022
HG00583	1.9899	0.1801
HG00584	1.1193	0.0575
HG00589	1.761	0.155
HG00590	1	0.0308
HG00592	1.9899	0.1801
HG00593	4.4154	0.6082
HG00595	0.945	0.0288
HG00596	4.4154	0.6082
HG00598	0.75	0.0076
HG00599	2.9698	0.4429
HG00607	2.7707	0.3726
HG00608	2.2189	0.2624
HG00610	3.9598	0.5036
HG00611	1.1193	0.0575
HG00613	0.75	0.0076
HG00614	0.6637	0.0048
HG00619	2.9698	0.4429
HG00620	0.885	0.0176
HG00622	1.4868	0.1178
HG00623	2.9586	0.4022
HG00625	1	0.0308
HG00626	0.75	0.0076
HG00628	1.9899	0.1801
HG00629	1.9899	0.1801
HG00631	2.6282	0.3706
HG00632	1.1193	0.0575
HG00634	1.9899	0.1801
HG00637	6.9469	0.9609
HG00638	2.9586	0.4022
HG00640	4.6725	0.6122
HG00641	1.8804	0.1741
HG00650	2.9698	0.4429
HG00651	1.18	0.0647
HG00653	3.9598	0.5036
HG00654	2.9586	0.4022
HG00656	1.5585	0.1486
HG00657	1	0.0308
HG00662	1.9899	0.1801
HG00663	1.8804	0.1741
HG00671	0.885	0.0176
HG00672	1.9899	0.1801
HG00674	1.4924	0.1294
HG00675	3.1012	0.4585
HG00683	1	0.0308
HG00684	0.75	0.0076
HG00689	2.9698	0.4429
HG00690	2.2273	0.2684
HG00692	1.4924	0.1294
HG00693	1	0.0308
HG00698	1.9899	0.1801
HG00699	1.18	0.0647
HG00701	2.3481	0.2704
HG00704	1.18	0.0647
HG00705	0.75	0.0076
HG00707	1.1193	0.0575
HG00708	1.3208	0.101
HG00717	0.6637	0.0048
HG00728	0.75	0.0076
HG00729	1.4924	0.1294
HG00731	4.9893	0.7772
HG00732	2.9586	0.4022
HG00734	3.9598	0.5036
HG00736	3.9598	0.5036
HG00737	2.3481	0.2704
HG00739	5.5135	0.8075
HG00740	2.3481	0.2704
HG00742	4.6725	0.6122
HG00743	2.3481	0.2704
HG00759	1.18	0.0647
HG00766	2.9698	0.4429
HG00844	0.885	0.0176
HG00851	1.4924	0.1294
HG00864	2.3481	0.2704
HG00867	5.5135	0.8075
HG00879	3.9598	0.5036
HG00881	1.1193	0.0575
HG00956	2.9698	0.4429
HG00978	2.6282	0.3706
HG00982	1.3208	0.101
HG01028	0.6637	0.0048
HG01029	1.18	0.0647
HG01031	3.1012	0.4585
HG01046	0.885	0.0176
HG01047	4.6725	0.6122
HG01048	2.3481	0.2704
HG01049	5.8873	0.8966
HG01051	3.491	0.4649
HG01052	3.9598	0.5036
HG01054	1.9899	0.1801
HG01055	3.9598	0.5036
HG01058	5.8873	0.8966
HG01060	2.9586	0.4022
HG01061	3.9598	0.5036
HG01063	4.6725	0.6122
HG01064	1	0.0308
HG01066	3.9598	0.5036
HG01067	1.9899	0.1801
HG01069	4.6725	0.6122
HG01070	1.7544	0.151
HG01072	6.9469	0.9609
HG01073	4.6725	0.6122
HG01075	1.18	0.0647
HG01077	4.6725	0.6122
HG01079	5.5135	0.8075
HG01080	4.6725	0.6122
HG01082	4.9893	0.7772
HG01083	2.3481	0.2704
HG01085	4.6725	0.6122
HG01086	4.6725	0.6122
HG01088	3.9598	0.5036
HG01089	5.5135	0.8075
HG01092	3.9598	0.5036
HG01094	6.9469	0.9609
HG01095	1.4868	0.1178
HG01097	1.761	0.155
HG01098	5.8873	0.8966
HG01101	2.7707	0.3726
HG01102	2.3481	0.2704
HG01104	6.9469	0.9609
HG01105	1.9899	0.1801
HG01107	3.9598	0.5036
HG01108	2.5073	0.3494
HG01110	5.8873	0.8966
HG01111	5.8873	0.8966
HG01112	4.6725	0.6122
HG01113	4.9893	0.7772
HG01119	1.9899	0.1801
HG01121	2.9586	0.4022
HG01122	2.3481	0.2704
HG01124	4.6725	0.6122
HG01125	2.9698	0.4429
HG01130	4.6725	0.6122
HG01131	3.9598	0.5036
HG01133	5.8873	0.8966
HG01134	3.9598	0.5036
HG01136	1.9899	0.1801
HG01137	2.7707	0.3726
HG01139	1.9899	0.1801
HG01140	3.9598	0.5036
HG01142	1.9899	0.1801
HG01148	1.18	0.0647
HG01149	4.6725	0.6122
HG01161	4.9893	0.7772
HG01162	6.9469	0.9609
HG01164	1	0.0308
HG01167	5.8873	0.8966
HG01168	4.6725	0.6122
HG01170	4.9893	0.7772
HG01171	2.3481	0.2704
HG01173	4.6725	0.6122
HG01174	2.3481	0.2704
HG01176	5.8873	0.8966
HG01177	5.5135	0.8075
HG01182	2.7707	0.3726
HG01183	2.3481	0.2704
HG01187	2.9698	0.4429
HG01188	4.6725	0.6122
HG01190	5.5135	0.8075
HG01191	7.4179	0.9936
HG01197	5.5135	0.8075
HG01198	1.18	0.0647
HG01200	4.3987	0.6066
HG01204	5.5135	0.8075
HG01205	6.9469	0.9609
HG01241	8.753	0.9976
HG01242	2.6182	0.369
HG01247	3.5043	0.4808
HG01248	2.9586	0.4022
HG01250	1.9899	0.1801
HG01251	5.8873	0.8966
HG01253	1.18	0.0647
HG01254	3.9598	0.5036
HG01256	2.3481	0.2704
HG01257	5.8873	0.8966
HG01259	2.3481	0.2704
HG01260	5.8873	0.8966
HG01269	1	0.0308
HG01271	1.9899	0.1801
HG01272	2.3481	0.2704
HG01275	2.3481	0.2704
HG01277	2.3481	0.2704
HG01280	1.4868	0.1178
HG01281	4.9893	0.7772
HG01284	2.9698	0.4429
HG01286	2.7707	0.3726
HG01302	2.7707	0.3726
HG01303	4.9893	0.7772
HG01305	2.5073	0.3494
HG01308	1.3924	0.1074
HG01311	3.1591	0.4605
HG01312	1.761	0.155
HG01323	2.7707	0.3726
HG01325	1.3924	0.1074
HG01326	4.6725	0.6122
HG01334	4.6725	0.6122
HG01341	1.9899	0.1801
HG01342	5.5135	0.8075
HG01344	3.9598	0.5036
HG01345	2.3481	0.2704
HG01348	3.9598	0.5036
HG01350	1.9899	0.1801
HG01351	3.9598	0.5036
HG01353	1	0.0308
HG01354	3.9598	0.5036
HG01356	4.9893	0.7772
HG01357	4.6725	0.6122
HG01359	2.3481	0.2704
HG01360	1.18	0.0647
HG01362	4.6725	0.6122
HG01363	6.9469	0.9609
HG01365	1.9899	0.1801
HG01366	4.6725	0.6122
HG01369	3.9598	0.5036
HG01372	5.5135	0.8075
HG01374	5.5135	0.8075
HG01375	4.6725	0.6122
HG01377	1.18	0.0647
HG01378	4.6725	0.6122
HG01383	4.1351	0.6022
HG01384	3.9598	0.5036
HG01389	2.9586	0.4022
HG01390	6.9469	0.9609
HG01392	1.9899	0.1801
HG01393	6.9469	0.9609
HG01395	7.4179	0.9936
HG01396	5.8873	0.8966
HG01398	4.6725	0.6122
HG01402	4.6725	0.6122
HG01403	2.3481	0.2704
HG01405	2.7707	0.3726
HG01412	2.7707	0.3726
HG01413	5.2101	0.8063
HG01414	4.6725	0.6122
HG01431	5.8873	0.8966
HG01432	2.3481	0.2704
HG01435	1	0.0308
HG01437	4.4154	0.6082
HG01438	2.5073	0.3494
HG01440	5.8873	0.8966
HG01441	3.9598	0.5036
HG01443	3.9598	0.5036
HG01444	2.9586	0.4022
HG01447	6.9469	0.9609
HG01455	1.18	0.0647
HG01456	5.8873	0.8966
HG01459	2.3481	0.2704
HG01461	5.5135	0.8075
HG01462	4.6725	0.6122
HG01464	4.6725	0.6122
HG01465	1.26	0.0938
HG01468	1.9899	0.1801
HG01474	4.6725	0.6122
HG01479	5.8873	0.8966
HG01485	3.9598	0.5036
HG01486	4.6725	0.6122
HG01488	5.5135	0.8075
HG01489	2.9586	0.4022
HG01491	4.6725	0.6122
HG01492	6.9469	0.9609
HG01494	2.3481	0.2704
HG01495	5.8873	0.8966
HG01497	4.6725	0.6122
HG01498	4.6725	0.6122
HG01500	2.3481	0.2704
HG01501	2.5073	0.3494
HG01503	2.6182	0.369
HG01504	5.8873	0.8966
HG01506	4.6725	0.6122
HG01507	4.9893	0.7772
HG01509	3.491	0.4649
HG01510	4.9893	0.7772
HG01512	2.5073	0.3494
HG01513	1.3924	0.1074
HG01515	2.9586	0.4022
HG01516	3.491	0.4649
HG01518	2.9586	0.4022
HG01519	3.9598	0.5036
HG01521	4.4154	0.6082
HG01522	2.3481	0.2704
HG01524	2.9586	0.4022
HG01525	3.491	0.4649
HG01527	5.5135	0.8075
HG01528	1.4868	0.1178
HG01530	4.6725	0.6122
HG01531	1.3924	0.1074
HG01536	6.2865	0.9577
HG01537	1.18	0.0647
HG01550	2.3481	0.2704
HG01551	2.3481	0.2704
HG01556	4.6725	0.6122
HG01565	5.5135	0.8075
HG01566	2.5073	0.3494
HG01571	4.6725	0.6122
HG01572	3.9598	0.5036
HG01577	4.6725	0.6122
HG01578	2.3481	0.2704
HG01583	1.3924	0.1074
HG01586	5.5135	0.8075
HG01589	1.9899	0.1801
HG01593	5.5135	0.8075
HG01595	0.75	0.0076
HG01596	2.3481	0.2704
HG01597	1.9899	0.1801
HG01598	1.4924	0.1294
HG01599	1.4924	0.1294
HG01600	1.3208	0.101
HG01602	4.9893	0.7772
HG01603	5.5135	0.8075
HG01605	4.1351	0.6022
HG01606	4.6725	0.6122
HG01607	2.3481	0.2704
HG01608	1.9899	0.1801
HG01610	4.9893	0.7772
HG01612	3.491	0.4649
HG01613	1.4868	0.1178
HG01615	3.9598	0.5036
HG01617	3.7277	0.4936
HG01618	2.3481	0.2704
HG01619	2.3481	0.2704
HG01620	2.7707	0.3726
HG01623	2.5073	0.3494
HG01624	6.9469	0.9609
HG01625	5.8873	0.8966
HG01626	4.6725	0.6122
HG01628	0.885	0.0176
HG01630	1.18	0.0647
HG01631	2.3481	0.2704
HG01632	1.9899	0.1801
HG01668	4.9893	0.7772
HG01669	2.3481	0.2704
HG01670	1.4868	0.1178
HG01672	5.5135	0.8075
HG01673	1.9899	0.1801
HG01675	5.8873	0.8966
HG01676	2.3481	0.2704
HG01678	5.5135	0.8075
HG01679	1.9899	0.1801
HG01680	5.8873	0.8966
HG01682	2.3481	0.2704
HG01684	2.7707	0.3726
HG01685	2.7707	0.3726
HG01686	5.8873	0.8966
HG01694	1.9899	0.1801
HG01695	2.3481	0.2704
HG01697	2.9586	0.4022
HG01699	4.6725	0.6122
HG01700	2.3481	0.2704
HG01702	3.491	0.4649
HG01704	2.7707	0.3726
HG01705	1.18	0.0647
HG01707	4.9893	0.7772
HG01708	3.5043	0.4808
HG01709	2.3481	0.2704
HG01710	2.9586	0.4022
HG01746	2.2189	0.2624
HG01747	3.1591	0.4605
HG01756	4.9893	0.7772
HG01757	2.7707	0.3726
HG01761	5.8873	0.8966
HG01762	1.4868	0.1178
HG01765	4.9893	0.7772
HG01766	5.8873	0.8966
HG01767	4.6725	0.6122
HG01768	1.9899	0.1801
HG01770	5.5135	0.8075
HG01771	2.7707	0.3726
HG01773	1.9899	0.1801
HG01775	1.4868	0.1178
HG01776	4.6725	0.6122
HG01777	5.5135	0.8075
HG01779	2.7707	0.3726
HG01781	5.5135	0.8075
HG01783	2.3481	0.2704
HG01784	3.9598	0.5036
HG01785	4.9893	0.7772
HG01786	2.5073	0.3494
HG01789	1.18	0.0647
HG01790	5.8873	0.8966
HG01791	3.9598	0.5036
HG01794	1.8804	0.1741
HG01795	5.8873	0.8966
HG01796	1.9899	0.1801
HG01797	1.9899	0.1801
HG01798	1.9899	0.1801
HG01799	1.777	0.1725
HG01800	1.9899	0.1801
HG01801	1.3208	0.101
HG01802	1.4924	0.1294
HG01804	0.5625	4.00E-04
HG01805	2.3481	0.2704
HG01806	0.6637	0.0048
HG01807	1.1193	0.0575
HG01808	2.2189	0.2624
HG01809	1.4924	0.1294
HG01810	1.761	0.155
HG01811	1.18	0.0647
HG01812	0.885	0.0176
HG01813	4.6725	0.6122
HG01815	0.75	0.0076
HG01816	1.3924	0.1074
HG01817	2.9698	0.4429
HG01840	2.5073	0.3494
HG01841	1.4924	0.1294
HG01842	1.761	0.155
HG01843	2.2273	0.2684
HG01844	1.9899	0.1801
HG01845	1.3208	0.101
HG01846	1.9899	0.1801
HG01847	1.9899	0.1801
HG01848	1.5585	0.1486
HG01849	2.9698	0.4429
HG01850	1.9899	0.1801
HG01851	1.761	0.155
HG01852	2.9698	0.4429
HG01853	3.5043	0.4808
HG01855	4.4154	0.6082
HG01857	1.8804	0.1741
HG01858	2.9698	0.4429
HG01859	2.3481	0.2704
HG01860	1.4924	0.1294
HG01861	1	0.0308
HG01862	1.9899	0.1801
HG01863	1.1193	0.0575
HG01864	0.5625	4.00E-04
HG01865	1	0.0308
HG01866	1.18	0.0647
HG01867	2.9698	0.4429
HG01868	1.8804	0.1741
HG01869	1.761	0.155
HG01870	3.5043	0.4808
HG01871	0.885	0.0176
HG01872	1.4924	0.1294
HG01873	1.4924	0.1294
HG01874	6.2865	0.9577
HG01878	1.761	0.155
HG01879	5.8873	0.8966
HG01880	4.9893	0.7772
HG01882	5.5135	0.8075
HG01883	5.8873	0.8966
HG01885	5.8873	0.8966
HG01886	3.9598	0.5036
HG01889	4.6725	0.6122
HG01890	3.9598	0.5036
HG01892	3.9598	0.5036
HG01893	1.9899	0.1801
HG01894	5.5135	0.8075
HG01896	4.6725	0.6122
HG01912	5.5135	0.8075
HG01914	4.6725	0.6122
HG01915	3.9598	0.5036
HG01917	4.6725	0.6122
HG01918	2.3481	0.2704
HG01920	3.9598	0.5036
HG01921	4.6725	0.6122
HG01923	4.6725	0.6122
HG01924	3.9598	0.5036
HG01926	3.9598	0.5036
HG01927	3.9598	0.5036
HG01932	5.5135	0.8075
HG01933	4.6725	0.6122
HG01935	1.9899	0.1801
HG01936	5.5135	0.8075
HG01938	4.6725	0.6122
HG01939	3.9598	0.5036
HG01941	3.9598	0.5036
HG01942	4.6725	0.6122
HG01944	3.9598	0.5036
HG01945	2.9698	0.4429
HG01947	5.5135	0.8075
HG01948	3.9598	0.5036
HG01950	3.9598	0.5036
HG01951	3.9598	0.5036
HG01953	4.6725	0.6122
HG01954	4.6725	0.6122
HG01956	3.9598	0.5036
HG01958	2.7707	0.3726
HG01961	1.9899	0.1801
HG01965	2.9586	0.4022
HG01967	2.3481	0.2704
HG01968	3.9598	0.5036
HG01970	4.6725	0.6122
HG01971	3.9598	0.5036
HG01973	4.6725	0.6122
HG01974	4.1351	0.6022
HG01976	5.5135	0.8075
HG01977	5.5135	0.8075
HG01979	4.6725	0.6122
HG01980	4.6725	0.6122
HG01982	2.3481	0.2704
HG01985	4.6725	0.6122
HG01986	1.18	0.0647
HG01988	4.6725	0.6122
HG01989	3.9598	0.5036
HG01990	6.9469	0.9609
HG01991	4.6725	0.6122
HG01992	4.6725	0.6122
HG01997	3.9598	0.5036
HG02002	3.9598	0.5036
HG02003	2.9698	0.4429
HG02006	5.8873	0.8966
HG02008	1.9899	0.1801
HG02009	4.1351	0.6022
HG02010	3.9598	0.5036
HG02012	4.9893	0.7772
HG02013	4.6725	0.6122
HG02014	5.5135	0.8075
HG02016	1.4924	0.1294
HG02017	2.9698	0.4429
HG02019	1.9899	0.1801
HG02020	0.75	0.0076
HG02023	2.9698	0.4429
HG02025	3.9598	0.5036
HG02026	1	0.0308
HG02028	3.1012	0.4585
HG02029	3.9598	0.5036
HG02031	0.893	0.0284
HG02032	1.9899	0.1801
HG02035	3.7419	0.4996
HG02040	1.4924	0.1294
HG02047	1.761	0.155
HG02048	3.9598	0.5036
HG02049	1.3208	0.101
HG02050	0.75	0.0076
HG02051	5.8873	0.8966
HG02052	4.6725	0.6122
HG02053	5.8873	0.8966
HG02054	4.6725	0.6122
HG02057	1.1193	0.0575
HG02058	1.9899	0.1801
HG02060	2.3481	0.2704
HG02061	0.8363	0.0164
HG02064	3.9598	0.5036
HG02067	0.5625	4.00E-04
HG02069	2.3481	0.2704
HG02070	0.75	0.0076
HG02072	2.3481	0.2704
HG02073	0.75	0.0076
