Disease	cervical cancer	Rank_cervical cancer
HG02445	3.9598	0.5036
HG02449	3.491	0.4649
HG02450	4.6725	0.6122
HG02455	4.6725	0.6122
HG02461	5.8873	0.8966
HG02462	4.6725	0.6122
HG02464	4.6725	0.6122
HG02465	4.6725	0.6122
HG02470	6.9469	0.9609
HG02471	3.9598	0.5036
HG02476	4.6725	0.6122
HG02477	4.6725	0.6122
HG02479	3.7277	0.4936
HG02481	4.6725	0.6122
HG02484	2.7707	0.3726
HG02485	4.6725	0.6122
HG02489	5.5135	0.8075
HG02490	2.9586	0.4022
HG02491	1.9899	0.1801
HG02493	1	0.0308
HG02494	5.8873	0.8966
HG02496	3.9598	0.5036
HG02497	4.6725	0.6122
HG02501	5.5135	0.8075
HG02502	8.753	0.9976
HG02505	5.5135	0.8075
HG02508	2.3481	0.2704
HG02511	6.9469	0.9609
HG02512	1.9899	0.1801
HG02513	3.7419	0.4996
HG02521	4.6725	0.6122
HG02522	3.5043	0.4808
HG02536	4.6725	0.6122
HG02537	1.9899	0.1801
HG02541	4.6725	0.6122
HG02545	6.9469	0.9609
HG02546	4.6725	0.6122
HG02549	5.5135	0.8075
HG02554	5.8873	0.8966
HG02555	3.9598	0.5036
HG02557	4.6725	0.6122
HG02558	5.5135	0.8075
HG02561	4.6725	0.6122
HG02562	4.6725	0.6122
HG02568	4.6725	0.6122
HG02570	4.6725	0.6122
HG02571	5.5135	0.8075
HG02573	4.9893	0.7772
HG02574	4.6725	0.6122
HG02577	4.6725	0.6122
HG02580	5.5135	0.8075
HG02582	4.6725	0.6122
HG02583	6.9469	0.9609
HG02585	3.9598	0.5036
HG02586	4.6725	0.6122
HG02588	3.9598	0.5036
HG02589	3.9598	0.5036
HG02594	4.9893	0.7772
HG02595	4.9893	0.7772
HG02597	4.9893	0.7772
HG02600	2.9698	0.4429
HG02601	3.9598	0.5036
HG02603	1	0.0308
HG02604	1	0.0308
HG02610	2.7707	0.3726
HG02611	5.8873	0.8966
HG02613	6.2865	0.9577
HG02614	4.6725	0.6122
HG02620	5.8873	0.8966
HG02621	5.5135	0.8075
HG02623	3.9598	0.5036
HG02624	5.5135	0.8075
HG02628	7.4179	0.9936
HG02629	4.6725	0.6122
HG02634	5.5135	0.8075
HG02635	4.6725	0.6122
HG02642	4.6725	0.6122
HG02643	5.5135	0.8075
HG02645	2.3481	0.2704
HG02646	5.5135	0.8075
HG02648	6.9469	0.9609
HG02649	1.18	0.0647
HG02651	1.9899	0.1801
HG02652	2.3481	0.2704
HG02654	2.7707	0.3726
HG02655	1.9899	0.1801
HG02657	1.18	0.0647
HG02658	2.7707	0.3726
HG02660	1.18	0.0647
HG02661	3.9598	0.5036
HG02666	3.9598	0.5036
HG02667	5.8873	0.8966
HG02675	3.9598	0.5036
HG02676	4.6725	0.6122
HG02678	4.9893	0.7772
HG02679	6.9469	0.9609
HG02681	2.5073	0.3494
HG02682	6.2865	0.9577
HG02684	1.26	0.0938
HG02685	4.6725	0.6122
HG02687	4.6725	0.6122
HG02688	4.6725	0.6122
HG02690	2.7707	0.3726
HG02691	5.5135	0.8075
HG02694	6.9469	0.9609
HG02696	3.9598	0.5036
HG02697	4.6725	0.6122
HG02699	1.9899	0.1801
HG02700	1.9899	0.1801
HG02702	4.6725	0.6122
HG02703	4.6725	0.6122
HG02715	2.9586	0.4022
HG02716	4.6725	0.6122
HG02721	3.9598	0.5036
HG02722	4.6725	0.6122
HG02724	4.6725	0.6122
HG02725	1.9899	0.1801
HG02727	1.26	0.0938
HG02728	5.5135	0.8075
HG02731	1.18	0.0647
HG02733	3.9598	0.5036
HG02734	2.5073	0.3494
HG02736	1	0.0308
HG02737	2.3481	0.2704
HG02756	5.5135	0.8075
HG02757	5.8873	0.8966
HG02759	5.5135	0.8075
HG02760	5.8873	0.8966
HG02763	6.9469	0.9609
HG02768	5.5135	0.8075
HG02769	4.6725	0.6122
HG02771	3.9598	0.5036
HG02772	3.9598	0.5036
HG02774	5.8873	0.8966
HG02775	3.9598	0.5036
HG02778	1.18	0.0647
HG02780	5.5135	0.8075
HG02783	3.9598	0.5036
HG02784	5.8873	0.8966
HG02786	1.9899	0.1801
HG02787	2.9586	0.4022
HG02789	1.9899	0.1801
HG02790	5.5135	0.8075
HG02792	2.9586	0.4022
HG02793	1.9899	0.1801
HG02798	6.9469	0.9609
HG02799	5.5135	0.8075
HG02804	4.6725	0.6122
HG02805	4.6725	0.6122
HG02807	3.9598	0.5036
HG02808	2.3481	0.2704
HG02810	5.8873	0.8966
HG02811	5.8873	0.8966
HG02813	4.6725	0.6122
HG02814	5.5135	0.8075
HG02816	4.6725	0.6122
HG02817	4.6725	0.6122
HG02819	6.9469	0.9609
HG02820	2.3481	0.2704
HG02836	3.9598	0.5036
HG02837	2.3481	0.2704
HG02839	3.9598	0.5036
HG02840	1.9899	0.1801
HG02851	5.5135	0.8075
HG02852	7.4179	0.9936
HG02854	3.9598	0.5036
HG02855	3.9598	0.5036
HG02860	3.9598	0.5036
HG02861	4.6725	0.6122
HG02870	6.9469	0.9609
HG02878	4.6725	0.6122
HG02879	5.5135	0.8075
HG02881	5.5135	0.8075
HG02882	5.5135	0.8075
HG02884	5.8873	0.8966
HG02885	6.9469	0.9609
HG02887	3.9598	0.5036
HG02888	4.6725	0.6122
HG02890	4.6725	0.6122
HG02891	3.9598	0.5036
HG02895	4.6725	0.6122
HG02896	5.5135	0.8075
HG02922	4.6725	0.6122
HG02923	4.6725	0.6122
HG02938	4.6725	0.6122
HG02941	5.8873	0.8966
HG02943	4.6725	0.6122
HG02944	5.5135	0.8075
HG02946	5.5135	0.8075
HG02947	5.5135	0.8075
HG02952	4.9893	0.7772
HG02953	5.8873	0.8966
HG02968	4.6725	0.6122
HG02970	6.9469	0.9609
HG02971	5.8873	0.8966
HG02973	5.5135	0.8075
HG02974	5.8873	0.8966
HG02976	4.6725	0.6122
HG02977	2.3481	0.2704
HG02979	4.6725	0.6122
HG02981	3.9598	0.5036
HG02982	2.9586	0.4022
HG02983	4.6725	0.6122
HG03006	3.9598	0.5036
HG03007	2.3481	0.2704
HG03009	1.9899	0.1801
HG03012	3.7277	0.4936
HG03015	1.18	0.0647
HG03016	5.8873	0.8966
HG03018	1.18	0.0647
HG03019	1.9899	0.1801
HG03021	2.3481	0.2704
HG03022	1.26	0.0938
HG03024	5.8873	0.8966
HG03025	5.5135	0.8075
HG03027	5.5135	0.8075
HG03028	4.6725	0.6122
HG03039	5.8873	0.8966
HG03040	4.6725	0.6122
HG03045	4.6725	0.6122
HG03046	4.6725	0.6122
HG03048	4.6725	0.6122
HG03049	4.6725	0.6122
HG03052	5.8873	0.8966
HG03054	4.6725	0.6122
HG03055	4.6725	0.6122
HG03057	3.9598	0.5036
HG03058	4.6725	0.6122
HG03060	3.9598	0.5036
HG03061	4.6725	0.6122
HG03063	4.6725	0.6122
HG03064	3.9598	0.5036
HG03066	4.6725	0.6122
HG03069	4.6725	0.6122
HG03072	4.6725	0.6122
HG03073	4.6725	0.6122
HG03074	2.7707	0.3726
HG03077	4.6725	0.6122
HG03078	5.5135	0.8075
HG03079	5.5135	0.8075
HG03081	4.6725	0.6122
HG03082	5.5135	0.8075
HG03084	2.7707	0.3726
HG03085	6.9469	0.9609
HG03086	5.5135	0.8075
HG03088	5.5135	0.8075
HG03091	4.6725	0.6122
HG03095	4.6725	0.6122
HG03096	5.5135	0.8075
HG03097	5.5135	0.8075
HG03099	5.5135	0.8075
HG03100	5.8873	0.8966
HG03103	4.9893	0.7772
HG03105	4.9893	0.7772
HG03108	5.8873	0.8966
HG03109	5.5135	0.8075
HG03111	5.8873	0.8966
HG03112	3.9598	0.5036
HG03114	6.9469	0.9609
HG03115	5.8873	0.8966
HG03117	4.6725	0.6122
HG03118	5.5135	0.8075
HG03120	5.5135	0.8075
HG03121	8.753	0.9976
HG03123	5.5135	0.8075
HG03124	4.6725	0.6122
HG03126	3.9598	0.5036
HG03127	4.6725	0.6122
HG03129	4.6725	0.6122
HG03130	4.6725	0.6122
HG03132	4.6725	0.6122
HG03133	4.6725	0.6122
HG03135	4.6725	0.6122
HG03136	4.6725	0.6122
HG03139	5.5135	0.8075
HG03157	4.6725	0.6122
HG03159	4.6725	0.6122
HG03160	4.6725	0.6122
HG03162	6.9469	0.9609
HG03163	5.5135	0.8075
HG03166	4.6725	0.6122
HG03168	4.6725	0.6122
HG03169	5.8873	0.8966
HG03172	3.9598	0.5036
HG03175	6.9469	0.9609
HG03189	5.5135	0.8075
HG03190	8.753	0.9976
HG03193	5.5135	0.8075
HG03195	6.9469	0.9609
HG03196	5.5135	0.8075
HG03198	3.9598	0.5036
HG03199	4.6725	0.6122
HG03202	4.6725	0.6122
HG03209	4.9893	0.7772
HG03212	4.6725	0.6122
HG03224	2.7707	0.3726
HG03225	5.5135	0.8075
HG03228	5.5135	0.8075
HG03229	5.5135	0.8075
HG03234	4.6725	0.6122
HG03235	2.3481	0.2704
HG03237	5.5135	0.8075
HG03238	2.3481	0.2704
HG03240	5.8873	0.8966
HG03241	4.6725	0.6122
HG03246	5.5135	0.8075
HG03247	1.9899	0.1801
HG03258	6.9469	0.9609
HG03259	3.9598	0.5036
HG03265	4.6725	0.6122
HG03267	3.9598	0.5036
HG03268	4.6725	0.6122
HG03270	5.8873	0.8966
HG03271	5.5135	0.8075
HG03279	7.4179	0.9936
HG03280	4.6725	0.6122
HG03291	5.5135	0.8075
HG03294	5.5135	0.8075
HG03295	5.5135	0.8075
HG03297	4.6725	0.6122
HG03298	4.6725	0.6122
HG03300	6.9469	0.9609
HG03301	4.6725	0.6122
HG03303	6.9469	0.9609
HG03304	3.9598	0.5036
HG03311	4.6725	0.6122
HG03313	3.9598	0.5036
HG03342	4.6725	0.6122
HG03343	4.6725	0.6122
HG03351	5.5135	0.8075
HG03352	4.6725	0.6122
HG03354	3.9598	0.5036
HG03363	6.9469	0.9609
HG03366	5.5135	0.8075
HG03367	4.6725	0.6122
HG03369	4.9893	0.7772
HG03370	3.9598	0.5036
HG03372	5.8873	0.8966
HG03376	5.5135	0.8075
HG03378	4.6725	0.6122
HG03380	4.6725	0.6122
HG03382	4.6725	0.6122
HG03385	3.9598	0.5036
HG03388	4.6725	0.6122
HG03391	3.9598	0.5036
HG03394	2.9586	0.4022
HG03397	2.7707	0.3726
HG03401	4.6725	0.6122
HG03410	4.6725	0.6122
HG03419	5.5135	0.8075
HG03428	5.5135	0.8075
HG03432	5.5135	0.8075
HG03433	5.5135	0.8075
HG03436	5.5135	0.8075
HG03437	3.9598	0.5036
HG03439	5.8873	0.8966
HG03442	5.5135	0.8075
HG03445	5.5135	0.8075
HG03446	4.6725	0.6122
HG03449	1	0.0308
HG03451	4.6725	0.6122
HG03452	4.6725	0.6122
HG03455	3.9598	0.5036
HG03457	6.9469	0.9609
HG03458	4.6725	0.6122
HG03460	1.9899	0.1801
HG03461	4.6725	0.6122
HG03464	5.8873	0.8966
HG03469	3.9598	0.5036
HG03470	5.5135	0.8075
HG03472	4.6725	0.6122
HG03473	2.3481	0.2704
HG03476	4.6725	0.6122
HG03478	4.6725	0.6122
HG03479	4.9893	0.7772
HG03484	5.5135	0.8075
HG03485	5.5135	0.8075
HG03488	1.18	0.0647
HG03490	1.7544	0.151
HG03491	4.6725	0.6122
HG03499	5.5135	0.8075
HG03511	4.6725	0.6122
HG03514	3.9598	0.5036
HG03515	5.5135	0.8075
HG03517	4.6725	0.6122
HG03518	4.6725	0.6122
HG03520	5.5135	0.8075
HG03521	4.6725	0.6122
HG03538	3.9598	0.5036
HG03539	5.8873	0.8966
HG03547	5.5135	0.8075
HG03548	4.6725	0.6122
HG03556	4.6725	0.6122
HG03557	3.9598	0.5036
HG03558	2.3481	0.2704
HG03559	5.5135	0.8075
HG03563	5.8873	0.8966
HG03565	3.9598	0.5036
HG03567	5.5135	0.8075
HG03571	3.9598	0.5036
HG03572	4.6725	0.6122
HG03575	2.3481	0.2704
HG03577	5.8873	0.8966
HG03578	3.9598	0.5036
HG03583	5.5135	0.8075
HG03585	4.9893	0.7772
HG03589	2.5073	0.3494
HG03593	1.9899	0.1801
HG03594	1	0.0308
HG03595	1.4868	0.1178
HG03598	2.9586	0.4022
HG03600	4.9893	0.7772
HG03603	4.6725	0.6122
HG03604	4.6725	0.6122
HG03607	1.9899	0.1801
HG03611	1.9899	0.1801
HG03615	4.6725	0.6122
HG03616	3.491	0.4649
HG03619	1.9899	0.1801
HG03624	1.18	0.0647
HG03625	4.6725	0.6122
HG03629	4.3987	0.6066
HG03631	2.3481	0.2704
HG03634	2.3481	0.2704
HG03636	4.6725	0.6122
HG03640	5.8873	0.8966
HG03642	1	0.0308
HG03643	1.9899	0.1801
HG03644	5.8873	0.8966
HG03645	6.9469	0.9609
HG03646	2.5073	0.3494
HG03649	3.9598	0.5036
HG03652	2.7707	0.3726
HG03653	4.6725	0.6122
HG03660	5.8873	0.8966
HG03663	2.3481	0.2704
HG03667	1	0.0308
HG03668	2.3481	0.2704
HG03672	2.7707	0.3726
HG03673	2.3481	0.2704
HG03679	5.5135	0.8075
HG03680	1.9899	0.1801
HG03681	1.18	0.0647
HG03684	5.8873	0.8966
HG03685	1.9899	0.1801
HG03686	5.5135	0.8075
HG03687	1.9899	0.1801
HG03689	1.9899	0.1801
HG03690	1.4868	0.1178
HG03691	3.9598	0.5036
HG03692	4.9893	0.7772
HG03693	2.3481	0.2704
HG03694	5.5135	0.8075
HG03695	1.18	0.0647
HG03696	3.9598	0.5036
HG03697	1	0.0308
HG03698	1.9899	0.1801
HG03702	3.9598	0.5036
HG03703	2.3481	0.2704
HG03705	5.8873	0.8966
HG03706	1	0.0308
HG03708	3.9598	0.5036
HG03709	2.3481	0.2704
HG03711	5.8873	0.8966
HG03713	2.9586	0.4022
HG03714	3.9598	0.5036
HG03716	4.6725	0.6122
HG03717	1.9899	0.1801
HG03718	2.3481	0.2704
HG03720	1.9899	0.1801
HG03722	2.3481	0.2704
HG03727	1.9899	0.1801
HG03729	4.6725	0.6122
HG03730	3.9598	0.5036
HG03731	5.5135	0.8075
HG03733	4.6725	0.6122
HG03736	2.3481	0.2704
HG03738	1	0.0308
HG03740	2.3481	0.2704
HG03741	3.9598	0.5036
HG03742	1.18	0.0647
HG03743	1.18	0.0647
HG03744	4.9893	0.7772
HG03745	4.6725	0.6122
HG03746	3.9598	0.5036
HG03750	1.9899	0.1801
HG03752	2.3481	0.2704
HG03753	1.9899	0.1801
HG03754	1.18	0.0647
HG03755	1.9899	0.1801
HG03756	1.9899	0.1801
HG03757	4.6725	0.6122
HG03760	1.26	0.0938
HG03762	4.6725	0.6122
HG03765	3.9598	0.5036
HG03767	1.4868	0.1178
HG03770	5.8873	0.8966
HG03771	2.3481	0.2704
HG03772	1.9899	0.1801
HG03773	1.9899	0.1801
HG03774	1.9899	0.1801
HG03775	2.5073	0.3494
HG03777	4.6725	0.6122
HG03778	4.9893	0.7772
HG03779	2.3481	0.2704
HG03780	4.6725	0.6122
HG03781	5.8873	0.8966
HG03782	3.9598	0.5036
HG03784	1.9899	0.1801
HG03785	2.5073	0.3494
HG03786	1.4924	0.1294
HG03787	2.3481	0.2704
HG03788	1.26	0.0938
HG03789	4.9893	0.7772
HG03790	1	0.0308
HG03792	2.9586	0.4022
HG03793	1.9899	0.1801
HG03796	1.3924	0.1074
HG03800	1.3208	0.101
HG03802	1.9899	0.1801
HG03803	5.8873	0.8966
HG03805	1.26	0.0938
HG03808	4.6725	0.6122
HG03809	2.9586	0.4022
HG03812	3.9598	0.5036
HG03814	1.3924	0.1074
HG03815	4.9893	0.7772
HG03817	1.26	0.0938
HG03821	4.9893	0.7772
HG03823	3.9598	0.5036
HG03824	1.9899	0.1801
HG03826	3.9598	0.5036
HG03829	1	0.0308
HG03830	2.3481	0.2704
HG03832	1.9899	0.1801
HG03833	4.6725	0.6122
HG03836	2.9586	0.4022
HG03837	1.3924	0.1074
HG03838	3.1591	0.4605
HG03844	4.9893	0.7772
HG03846	3.9598	0.5036
HG03848	1.18	0.0647
HG03849	1.9899	0.1801
HG03850	5.8873	0.8966
HG03851	4.6725	0.6122
HG03854	3.9598	0.5036
HG03856	1.9899	0.1801
HG03857	2.3481	0.2704
HG03858	1.9899	0.1801
HG03861	1.9899	0.1801
HG03862	1.9899	0.1801
HG03863	3.9598	0.5036
HG03864	2.3481	0.2704
HG03866	4.6725	0.6122
HG03867	1.9899	0.1801
HG03868	7.4179	0.9936
HG03869	1.9899	0.1801
HG03870	3.9598	0.5036
HG03871	1.9899	0.1801
HG03872	1.9899	0.1801
HG03873	2.9586	0.4022
HG03874	1.9899	0.1801
HG03875	3.9598	0.5036
HG03882	4.9893	0.7772
HG03884	5.5135	0.8075
HG03885	1.4924	0.1294
HG03886	1	0.0308
HG03887	4.6725	0.6122
HG03888	2.3481	0.2704
HG03890	4.6725	0.6122
HG03894	4.9893	0.7772
HG03895	1.9899	0.1801
HG03896	4.6725	0.6122
HG03897	3.5043	0.4808
HG03898	1.18	0.0647
HG03899	4.6725	0.6122
HG03900	3.9598	0.5036
HG03902	2.9586	0.4022
HG03905	2.5073	0.3494
HG03907	1.9899	0.1801
HG03908	1.9899	0.1801
HG03910	1.9899	0.1801
HG03911	4.6725	0.6122
HG03913	1.18	0.0647
HG03914	1.18	0.0647
HG03916	1.9899	0.1801
HG03917	4.6725	0.6122
HG03919	1.4868	0.1178
HG03920	2.3481	0.2704
HG03922	5.5135	0.8075
HG03925	4.6725	0.6122
HG03926	2.9698	0.4429
HG03928	3.491	0.4649
HG03931	5.8873	0.8966
HG03934	3.491	0.4649
HG03937	4.6725	0.6122
HG03940	3.9598	0.5036
HG03941	1.9899	0.1801
HG03943	4.9893	0.7772
HG03944	1.26	0.0938
HG03945	4.6725	0.6122
HG03947	1.18	0.0647
HG03949	1.3924	0.1074
HG03950	1.18	0.0647
HG03951	3.9598	0.5036
HG03953	3.9598	0.5036
HG03955	1.9899	0.1801
HG03960	5.5135	0.8075
HG03963	1.18	0.0647
HG03965	1.9899	0.1801
HG03967	5.5135	0.8075
HG03968	4.6725	0.6122
HG03969	6.9469	0.9609
HG03971	1.26	0.0938
HG03973	1.4868	0.1178
HG03974	4.6725	0.6122
HG03976	5.5135	0.8075
HG03977	3.7277	0.4936
HG03978	2.3481	0.2704
HG03985	1.18	0.0647
HG03986	2.3481	0.2704
HG03989	2.9586	0.4022
HG03990	1.9899	0.1801
HG03991	3.9598	0.5036
HG03995	1.9899	0.1801
HG03998	2.3481	0.2704
HG03999	3.9598	0.5036
HG04001	4.6725	0.6122
HG04002	2.5073	0.3494
HG04003	5.5135	0.8075
HG04006	1.9899	0.1801
HG04014	2.3481	0.2704
HG04015	4.6725	0.6122
HG04017	1.9899	0.1801
HG04018	4.6725	0.6122
HG04019	2.3481	0.2704
HG04020	0.885	0.0176
HG04022	5.5135	0.8075
HG04023	1.4924	0.1294
HG04025	1.9899	0.1801
HG04026	1.9899	0.1801
HG04029	5.8873	0.8966
HG04033	1.18	0.0647
HG04035	1.9899	0.1801
HG04038	2.3481	0.2704
HG04039	1.9899	0.1801
HG04042	1.9899	0.1801
HG04047	1.9899	0.1801
HG04054	3.9598	0.5036
HG04056	1.9899	0.1801
HG04059	4.6725	0.6122
HG04060	1.9899	0.1801
HG04061	2.3481	0.2704
HG04062	2.5073	0.3494
HG04063	4.9893	0.7772
HG04070	4.9893	0.7772
HG04075	4.9893	0.7772
HG04076	5.8873	0.8966
HG04080	4.9893	0.7772
HG04090	3.9598	0.5036
HG04093	3.9598	0.5036
HG04094	4.6725	0.6122
HG04096	3.9598	0.5036
HG04098	5.5135	0.8075
HG04099	3.9598	0.5036
HG04100	1.9899	0.1801
HG04106	4.6725	0.6122
HG04107	2.9586	0.4022
HG04118	1.26	0.0938
HG04131	2.5073	0.3494
HG04134	3.491	0.4649
HG04140	1.3924	0.1074
HG04141	1.4924	0.1294
HG04144	5.8873	0.8966
HG04146	3.9598	0.5036
HG04152	2.3481	0.2704
HG04153	4.6725	0.6122
HG04155	1.18	0.0647
HG04156	3.9598	0.5036
HG04158	3.1591	0.4605
HG04159	2.9586	0.4022
HG04161	5.8873	0.8966
HG04162	1.26	0.0938
HG04164	5.8873	0.8966
HG04171	2.3481	0.2704
HG04173	4.6725	0.6122
HG04176	2.3481	0.2704
HG04177	1	0.0308
HG04180	5.5135	0.8075
HG04182	2.7707	0.3726
HG04183	5.8873	0.8966
HG04185	6.9469	0.9609
HG04186	1.1151	0.0559
HG04188	4.9893	0.7772
HG04189	2.3481	0.2704
HG04194	4.6725	0.6122
HG04195	2.3481	0.2704
HG04198	1.9899	0.1801
HG04200	4.6725	0.6122
HG04202	4.9893	0.7772
HG04206	1.9899	0.1801
HG04209	1.9899	0.1801
HG04210	2.9586	0.4022
HG04211	2.3481	0.2704
HG04212	2.3481	0.2704
HG04214	5.8873	0.8966
HG04216	2.9586	0.4022
HG04219	3.9598	0.5036
HG04222	1.9899	0.1801
HG04225	1.18	0.0647
HG04227	2.3481	0.2704
HG04229	3.7277	0.4936
HG04235	4.6725	0.6122
HG04238	1.9899	0.1801
HG04239	2.9586	0.4022
NA06984	1.9899	0.1801
NA06985	2.3481	0.2704
NA06986	2.9586	0.4022
NA06989	1.9899	0.1801
NA06994	2.3481	0.2704
NA07000	2.3481	0.2704
NA07037	3.9598	0.5036
NA07048	3.9598	0.5036
NA07051	1.4868	0.1178
NA07056	4.6725	0.6122
NA07347	2.3481	0.2704
NA07357	2.5073	0.3494
NA10847	5.5135	0.8075
NA10851	2.7707	0.3726
NA11829	4.6725	0.6122
NA11830	4.6725	0.6122
NA11831	4.6725	0.6122
NA11832	4.6725	0.6122
NA11840	2.9586	0.4022
NA11843	6.9469	0.9609
NA11881	2.5073	0.3494
NA11892	4.9893	0.7772
NA11893	5.8873	0.8966
NA11894	1	0.0308
NA11918	4.6725	0.6122
NA11919	1.3924	0.1074
NA11920	4.4154	0.6082
NA11930	2.5073	0.3494
NA11931	5.5135	0.8075
NA11932	2.3481	0.2704
NA11933	3.491	0.4649
NA11992	2.9586	0.4022
NA11994	2.9586	0.4022
NA11995	3.9598	0.5036
NA12003	2.078	0.26
NA12004	2.5073	0.3494
NA12005	2.2189	0.2624
NA12006	5.5135	0.8075
NA12043	5.8873	0.8966
NA12044	2.9586	0.4022
NA12045	2.3481	0.2704
NA12046	2.5073	0.3494
NA12058	5.5135	0.8075
NA12144	2.3481	0.2704
NA12154	2.9586	0.4022
NA12155	2.3481	0.2704
NA12156	2.5073	0.3494
NA12234	5.5135	0.8075
NA12249	2.7707	0.3726
NA12272	3.491	0.4649
NA12273	2.3481	0.2704
NA12275	2.7707	0.3726
NA12282	2.3481	0.2704
NA12283	2.9586	0.4022
NA12286	4.6725	0.6122
NA12287	2.9586	0.4022
NA12340	3.9598	0.5036
NA12341	5.8873	0.8966
NA12342	1.18	0.0647
NA12347	3.9598	0.5036
NA12348	5.8873	0.8966
NA12383	4.9893	0.7772
NA12399	1.3924	0.1074
NA12400	2.6182	0.369
NA12413	4.6725	0.6122
NA12414	2.3481	0.2704
NA12489	1.18	0.0647
NA12546	1.3924	0.1074
NA12716	4.6725	0.6122
NA12717	4.6725	0.6122
NA12718	5.8873	0.8966
NA12748	2.3481	0.2704
NA12749	4.9893	0.7772
NA12750	3.9598	0.5036
NA12751	4.6725	0.6122
NA12760	2.9586	0.4022
NA12761	2.5073	0.3494
NA12762	1.26	0.0938
NA12763	1.18	0.0647
NA12775	1.761	0.155
NA12776	3.7277	0.4936
NA12777	2.9586	0.4022
NA12778	0.885	0.0176
NA12812	0.885	0.0176
NA12813	2.7707	0.3726
NA12814	2.3481	0.2704
NA12815	2.7707	0.3726
NA12827	4.6725	0.6122
NA12828	8.753	0.9976
NA12829	2.3481	0.2704
NA12830	5.8873	0.8966
NA12842	5.8873	0.8966
NA12843	2.9586	0.4022
NA12872	5.8873	0.8966
NA12873	2.9586	0.4022
NA12874	5.8873	0.8966
NA12878	1.18	0.0647
NA12889	2.7707	0.3726
NA12890	1.9899	0.1801
NA18486	5.5135	0.8075
NA18488	5.5135	0.8075
NA18489	5.8873	0.8966
NA18498	3.9598	0.5036
NA18499	3.9598	0.5036
NA18501	3.9598	0.5036
NA18502	5.5135	0.8075
NA18504	5.5135	0.8075
NA18505	4.6725	0.6122
NA18507	4.6725	0.6122
NA18508	4.6725	0.6122
NA18510	5.5135	0.8075
NA18511	4.6725	0.6122
NA18516	5.5135	0.8075
NA18517	5.5135	0.8075
NA18519	5.5135	0.8075
NA18520	5.5135	0.8075
NA18522	5.5135	0.8075
NA18523	2.3481	0.2704
NA18525	0.7087	0.0068
NA18526	1.761	0.155
NA18528	1.4924	0.1294
NA18530	3.1591	0.4605
NA18531	1.18	0.0647
NA18532	1.9899	0.1801
NA18533	2.2273	0.2684
NA18534	3.5043	0.4808
NA18535	3.5043	0.4808
NA18536	3.7419	0.4996
NA18537	3.9598	0.5036
NA18538	1.761	0.155
NA18539	1.761	0.155
NA18541	3.5043	0.4808
NA18542	2.078	0.26
NA18543	4.6725	0.6122
NA18544	4.6725	0.6122
NA18545	2.3481	0.2704
NA18546	2.9698	0.4429
NA18547	1.3157	0.1006
NA18548	0.945	0.0288
NA18549	1	0.0308
NA18550	2.9698	0.4429
NA18552	5.5135	0.8075
NA18553	4.1351	0.6022
NA18555	3.3115	0.4645
NA18557	1.3208	0.101
NA18558	0.885	0.0176
NA18559	1.761	0.155
NA18560	6.9469	0.9609
NA18561	1.8804	0.1741
NA18562	2.3481	0.2704
NA18563	3.7277	0.4936
NA18564	2.6182	0.369
NA18565	1.6578	0.1498
NA18566	2.078	0.26
NA18567	1	0.0308
NA18570	1.9899	0.1801
NA18571	2.5073	0.3494
NA18572	1.4868	0.1178
NA18573	1.761	0.155
NA18574	2.9698	0.4429
NA18577	1.3924	0.1074
NA18579	1.8804	0.1741
NA18582	2.9698	0.4429
NA18591	2.3481	0.2704
NA18592	1.761	0.155
NA18593	1.4924	0.1294
NA18595	2.9698	0.4429
NA18596	2.3481	0.2704
NA18597	1.9899	0.1801
NA18599	1.1193	0.0575
NA18602	1.761	0.155
NA18603	1.1193	0.0575
NA18605	2.3481	0.2704
NA18606	3.5043	0.4808
NA18608	1.761	0.155
NA18609	5.5135	0.8075
NA18610	2.9698	0.4429
NA18611	1.9899	0.1801
NA18612	4.4154	0.6082
NA18613	2.5073	0.3494
NA18614	1.18	0.0647
NA18615	1.18	0.0647
NA18616	1.9899	0.1801
NA18617	1.761	0.155
NA18618	3.9598	0.5036
NA18619	1.0443	0.0547
NA18620	4.6725	0.6122
NA18621	4.4154	0.6082
NA18622	0.75	0.0076
NA18623	2.3481	0.2704
NA18624	0.885	0.0176
NA18625	2.7707	0.3726
NA18626	1	0.0308
NA18627	0.7087	0.0068
NA18628	1.4924	0.1294
NA18629	2.2273	0.2684
NA18630	2.078	0.26
NA18631	1.3208	0.101
NA18632	2.5073	0.3494
NA18633	1.3208	0.101
NA18634	0.8363	0.0164
NA18635	1.9899	0.1801
NA18636	1.9899	0.1801
NA18637	1.3208	0.101
NA18638	1	0.0308
NA18639	0.885	0.0176
NA18640	1.761	0.155
NA18641	1.761	0.155
NA18642	3.491	0.4649
NA18643	1.3208	0.101
NA18644	1.4924	0.1294
NA18645	1.8804	0.1741
NA18646	1.4924	0.1294
NA18647	0.885	0.0176
NA18648	2.2189	0.2624
NA18740	0.885	0.0176
NA18745	2.3481	0.2704
NA18747	0.885	0.0176
NA18748	1.18	0.0647
NA18749	3.9598	0.5036
NA18757	1.4924	0.1294
NA18853	6.9469	0.9609
NA18856	4.6725	0.6122
NA18858	4.6725	0.6122
NA18861	3.9598	0.5036
NA18864	4.6725	0.6122
NA18865	5.5135	0.8075
NA18867	4.6725	0.6122
